"","feature","Occurrence_of_each_feature"
"1","Discharge.cubic.feet.per.second","252"
"2","Discharge.tidally.filtered.cubic.feet.per.second","19"
"3","Dissolved.organic.matter.fluorescence..fDOM..water.in.situ.micrograms.per.liter.as.quinine.sulfate.equivalents..QSE.","4"
"4","Dissolved.oxygen.water.unfiltered.milligrams.per.liter","17"
"5","Dissolved.solids.water.filtered.estimated.by.regression.equation.milligrams.per.liter","1"
"6","Elevation.of.reservoir.water.surface.above.datum.feet","1"
"7","Gage.height.feet","228"
"8","Groundwater.level.above.NAVD","13"
"9","Groundwater.level.above.NGVD","39"
"10","Mean.water.velocity.for.discharge.computation.feet.per.second","3"
"11","Nitrate.plus.nitrite.water.in.situ.milligrams.per.liter.as.nitrogen","6"
"12","Oxidation.reduction.potential.reference.electrode.not.specified.millivolts","1"
"13","pH.water.unfiltered.field.standard.units","5"
"14","Precipitation.total.inches","38"
"15","Reservoir.storage.thousand.acre.feet","1"
"16","Salinity.water.unfiltered.parts.per.thousand","80"
"17","Specific.conductance.water.unfiltered.microsiemens.per.centimeter.at.25.degrees.Celsius","115"
"18","Stream.water.level.elevation.above.NAVD","73"
"19","Stream.water.level.elevation.above.NGVD","5"
"20","Temperature.air.degrees.Celsius","2"
"21","Temperature.water.degrees.Celsius","161"
"22","Turbidity.water.unfiltered.monochrome.near.infra.red.LED.light.780.900.nm.detection.angle.90...2.5.degrees.formazin.nephelometric.units","11"
"23","Wind.speed.miles.per.hour","1"
